HRIS_code,資金來源,地區,服務類別,單位類別1,單位類別2,單位類別3,組別 / 單位,地址,電郵,電話 (Fax no.),主任 / 負責人,主任電郵,成立日期(命名日期),服務名額,服務年齡/面積 (平方米),備註
F-SGH-SC,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務, *尚真兒童之家," *尚真兒童之家
Sheung Chun Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","九龍將軍澳尚德邨尚真樓316-318室
Rm 316-318, Sheung Chun House, Sheung Tak Estate, Tseung Kwan O, Kln.",sjsgh@poleungkuk.org.hk,2775 1797,"林靖
Lam Ching",c.lam@poleungkuk.org.hk,1999,8 (男),4-18歲,"遷址日期: 1.2.1999

主任 (1) 負責督導"
F-SGH-THT,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務,大坑東兒童之家,"大坑東兒童之家
Tai Hang Tung Small Group Home","九龍深水埗大坑東邨東海樓212-214室
Flat 212-214, Tung Hoi House, Tai Hang Tung Estate, Shamshuipo, Kowloon",thtsgh@poleungkuk.org.hk,2778 7038,"朱裕玲
Che Yu Ling",yuling.che@poleungkuk.org.hk,2.8.1986,8 (男女),4-18歲,主任 (1) 負責督導
F-SGH-TW,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,太和兒童之家,"太和兒童之家
Tai Wo Small Group Home","新界大埔太和邨愛和樓401-406室
Flat 401-406, Oi Wo House, Tai Wo Estate Tai Po, N.T.",twsgh@poleungkuk.org.hk,2650 3779,"楊寶麒
Yeung Po Kei",pokei.yeung@poleungkuk.org.hk,1.9.1989,8 (男女),4-18歲,主任 (1) 負責督導
F-SGH-PT,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務, * 白田兒童之家," * 白田兒童之家
Pak Tin Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","九龍白田邨裕田樓一樓115-117室
Rm 115-117, Yue Tin House, Pak Tin Estate, Kowloon",ptsgh@poleungkuk.org.hk,2777 0457,"歐煥城
Au Woon Shing",woonshing.au@poleungkuk.org.hk,13.5.1994,8 (男),4-18歲,主任 (1) 負責督導
F-SGH-YT,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務, *耀東兒童之家," *耀東兒童之家
Yiu Tung Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","香港筲箕灣耀東邨耀福樓102-104室
Flat 102-104, Yiu Fook House, Yiu Tung Estate, Shau Kei Wan, Hong Kong",ytsgh@poleungkuk.org.hk,2567 7798,"林彩蘭
Lam Choi Lan",choilam.lam@poleungkuk.org.hk,9.12.1994,8 (男女),4-18歲,主任 (1) 負責督導
F-SGH-YF,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務, *耀福兒童之家," *耀福兒童之家
Yiu Fook Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","香港筲箕灣耀東邨耀福樓203-205室
Flat 203-205, Yiu Fook House, Yiu Tung Estate, Shau Kei Wan, Hong Kong",yfsgh@poleungkuk.org.hk,2569 8250,待聘,-,9.12.1994,8 (男女),4-18歲,主任 (1) 負責督導
F-SGH-ST,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,新翠兒童之家,"新翠兒童之家
Sun Chui Small Group Home","新界沙田新翠邨新明樓220-222室
Flat 220-222, Sun Ming House, Sun Chui Estate, Shatin, N.T.",scsgh@poleungkuk.org.hk,2697 9699,"邱詠琴
Yau Wing Kam",wk.yau@poleungkuk.org.hk,23.5.1986,8 (男女),4-18歲,主任 (2) 負責督導
F-SGH-HO,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務, * 恒安兒童之家," * 恒安兒童之家
Heng On Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","新界沙田馬鞍山恒安邨恒江樓349-352室
Flat 349-352, Heng Kong House, Heng On Estate, Ma On Shan, Shatin, N.T.",hosgh@poleungkuk.org.hk,2642 7212,"龍虹
Long Hong",ivy.long@poleungkuk.org.hk,15.2.1988,8 (男女),4-18歲,主任 (2) 負責督導
F-SGH-FT,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務,* 鳳德兒童之家,"* 鳳德兒童之家
Fung Tak Small Group Home
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","九龍鑽石山鳳德邨斑鳳樓701-704室
Flat 701-704, Ban Fung House, Fung Tak Estate, Diamond Hill North, Kowloon",ftsgh@poleungkuk.org.hk,2324 0515,"吳奕華
Ng Yick Wah",yw.ng@poleungkuk.org.hk,23.7.1991,8 (男女),4-18歲,主任 (2) 負責督導
F-SGH-CF,社署資助,九龍,綜合家庭服務,兒童住宿服務,兒童住宿服務,彩輝兒童之家,"彩輝兒童之家
Choi Fai Small Group Home","九龍牛池灣彩輝邨彩葉樓210-213室
Rm 210-213, Choi Yip House, Choi Fai Estate, Ngau Chi Wan, Kowloon",cfsgh@poleungkuk.org.hk,2318 0052,"湯慧蓮
Tong Wai Lin",wendy.tong@poleungkuk.org.hk,13.1.1996,8 (男女),4-18歲,"*收容7名正常及1名輕度弱智兒童

主任 (2) 負責督導"
F-SGH-SCO1,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,*水泉澳兒童之家(1),"*水泉澳兒童之家(1)
Shui Chuen O Small Group Home(1)
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","新界沙田水泉澳邨明泉樓地面3層1室
Unit 1(1), L3/F., Ming Chuen House, Shui Chuen O Estate, Shatin, N.T.",scosgh1@poleungkuk.org.hk,2661 9722,"蔡釗宜
Tsoi Chiu Yi",chiuyi.tsoi@poleungkuk.org.hk,30.6.2017,8 (男),4-18歲,主任 (2) 負責督導
F-SGH-SCO2,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,*水泉澳兒童之家(2),"*水泉澳兒童之家(2)
Shui Chuen O Small Group Home(2)
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","新界沙田水泉澳邨明泉樓地面3層1室
Unit 1(2), L3/F., Ming Chuen House, Shui Chuen O Estate, Shatin, N.T.",scosgh2@poleungkuk.org.hk,2661 9748,待聘,-,30.6.2017,8 (女),4-18歲,主任 (2) 負責督導
F-SGH-SCO3,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,*水泉澳兒童之家(3),"*水泉澳兒童之家(3)
Shui Chuen O Small Group Home(3)
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","新界沙田水泉澳邨明泉樓地面3層1室
Unit 1(3), L3/F., Ming Chuen House, Shui Chuen O Estate, Shatin, N.T.",scosgh3@poleungkuk.org.hk,2661 9751,"尤素華
Yau So Wa",sw.yau@poleungkuk.org.hk,30.6.2017,8 (男女),4-18歲,主任 (2) 負責督導
F-SGH-SCO4,社署資助,新界,綜合家庭服務,兒童住宿服務,兒童住宿服務,*水泉澳兒童之家(4),"*水泉澳兒童之家(4)
Shui Chuen O Small Group Home(4)
(*另提供緊急/短期兒童之家住宿服務，16間家舍名額合共10個。 )","新界沙田水泉澳邨明泉樓地面3層1室
Unit 1(4), L3/F., Ming Chuen House, Shui Chuen O Estate, Shatin, N.T.",scosgh4@poleungkuk.org.hk,2661 9792,待聘,-,30.6.2017,6 (男女),4-18歲,主任 (2) 負責督導
F-FOST-OR,社署資助,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,寄養服務,"寄養服務
Foster Care Service","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",fostercare@poleungkuk.org.hk,"2277 8393
(2798 8689)","陸翠珊
Suzanne Luk",suzanne.luk@poleungkuk.org.hk,"緊急寄養：
6.2003
一般寄養：
4.2005","緊急寄養：
30 (男女)
一般寄養：
35 (男女)",0-18歲,-
F-IAS,自資,香港,綜合家庭服務,領養服務,領養服務,海外領養服務,"海外領養服務
Intercountry Adoption Service","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",ias@poleungkuk.org.hk,"2277 8393
(2895 4955)","陸翠珊
Suzanne Luk",suzanne.luk@poleungkuk.org.hk,1.12.2007,-,18歲以下兒童及欲申請領養人士,-
F-LAS,自資,香港,綜合家庭服務,領養服務,領養服務,本地領養服務,"本地領養服務
Local Adoption Service","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",las@poleungkuk.org.hk,"2277 8393
(2895 4955)","陸翠珊
Suzanne Luk",suzanne.luk@poleungkuk.org.hk,1.1.2010,-,18歲以下兒童及欲申請領養人士,-
F,自資,香港,綜合家庭服務,社區服務中心,社區服務中心,黃子欣夫人兒童醫療中心,"黃子欣夫人兒童醫療中心
Mrs. Margaret Wong Children Medical Centre","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",sickbay@poleungkuk.org.hk,"2277 8464
(2504 5325)","梁凱韻
Wendy Leung",hoiwan.leung@poleungkuk.org.hk,-,本局住宿兒童,-,-
F-SUNRISE,社署資助,香港,綜合家庭服務,家庭危機支援服務,家庭危機支援服務,昕妍居,"昕妍居
Sunrise Court","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K",sunrisecourt@poleungkuk.org.hk,"2538 1233
(2890 8408)
Hotline:
8100 1155","李梅蕙
Orenda Lee","	muiwai.lee@poleungkuk.org.hk",25.3.2002,38,"18歲以上婦女及其子女
12-18歲以下女童需家長同意書",12-18歲以下女童需家長同意書
F-WO,社署資助,香港,綜合家庭服務,家庭危機支援服務,家庭危機支援服務,維安中心,"維安中心
Wai On Home for Women","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K",waion@poleungkuk.org.hk,"2172 7882
(2790 6369)
Hotline:
8100 1155","黃頴詩
Phoenix Wong",phoenix.wong@poleungkuk.org.hk,3.4.2006,56,"18歲以上婦女及其子女
12-18歲以下女童需家長同意書",12-18歲以下女童需家長同意書
F-DAWN,社署資助,香港,綜合家庭服務,家庭危機支援服務,家庭危機支援服務,曉妍居,"曉妍居
Dawn Court","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K",dawncourt@poleungkuk.org.hk,"2243 2031
(2243 3018)
Hotline:
8100 1155",待聘,-,30.12.2009,36,"18歲以上婦女及其子女
12-18歲以下女童需家長同意書",12-18歲以下女童需家長同意書
F-TL,社署資助,九龍,綜合家庭服務,家庭危機支援服務,家庭危機支援服務,翠林中心 (家庭暴力受害人支援計劃),"翠林中心 (家庭暴力受害人支援計劃)
Tsui Lam Centre (Victim Support Programme for Victims of Family Violence)","九龍將軍澳翠林邨彩林樓地下102-107室
Rm 102-107, Choi Lam House, Tsui Lam Estate, Tseung Kwan O, Kowloon",victimsupport@poleungkuk.org.hk,"2894 9117
(2894 8038)","岑潔儀
Katherine Shum",katherine.shum@poleungkuk.org.hk,29.6.2010,不限,-,-
F-HCRC(SR),社署資助,九龍,綜合家庭服務,家庭危機支援服務,家庭危機支援服務,樂和社區資源中心,"樂和社區資源中心
Harmony Community Resources Centre","九龍長沙灣青山道538號半島大廈5樓13及15室
Unit Nos. 13 and 15, 5/F Peninsula Tower, 538 Castle Peak Road, Kowloon",epsdv@poleungkuk.org.hk,"2711 2335
(2899 0034)
平和關係支援計劃查詢熱線:
2899 0019",待聘,-,2.10.2013,不限,-,-
F-SPONSOR,自資,香港,綜合家庭服務,兒童住宿服務,兒童住宿服務,助養部,"助養部
Sponsorship Section","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",sponchild@poleungkuk.org.hk,"2277 8164
(2890 6395)",待聘,-,兒童助養計劃始於1961年,-,-,-
F-BSFOOD,社署資助,新界,綜合家庭服務,短期食物援助計劃,社區服務中心,天朗膳糧坊短期食物援助服務隊,"天朗膳糧坊短期食物援助服務隊
Blue Sky Short-term Food Assistance Service Team","元朗服務中心：元朗大棠路11號光華廣場12樓1206-1208室
Yuen Long Service Centre : Office Nos. 6-8, 12/F, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long

天水圍服務中心：天水圍天秀路8號天一商城3樓3009-3010舖 
Tin Shui Wai Service Centre: Shops 3009-3010, 3/F, One Sky Mall, No. 8 Tin Sau Road, Tin Shui Wai",bsfa@poleungkuk.org.hk,"2658 1511
6301 1230
(2658 1908)

2551 6922
(2551 6981)
","李天發
Lee Tin Fat",tf.lee@poleungkuk.org.hk,1.3.2014,-,-,"遷址日期： 14.12.2021


遷址日期：
7.12.2021
社署恆常化日期:
1/8/2021"
F-SKMCS,自資,九龍,綜合家庭服務,社區服務中心,社區服務中心,深水埗區議會保良局石硤尾社區服務中心,"深水埗區議會保良局石硤尾社區服務中心
Sham Shui Po District Council Po Leung Kuk Shek Kip Mei Community Services Centre","九龍深水埗白田街13號石硤尾邨美葵樓101號舖
Shop 101, Mei Kwai House, Shek Kip Mei Estate, 13 Pak Tin Street, Sham Shui Po, Kowloon",skmcsc@poleungkuk.org.hk,"2608 9112
(2797 2089)","胡冠希
Ryan Wu
(社區服務)",kwunhei.wu@poleungkuk.org.hk,11.6.2019,不限,-,-
F-SKWCLR,關愛基金,香港,綜合家庭服務,社區服務中心,社區服務中心,筲箕灣社區客廳,"筲箕灣社區客廳
Shau Kei Wan Community Living Room ","香港筲箕灣興民街68號海天廣場3樓303至306室
Units 303-306, 3/F, Marina House, 68 Hing Man Street, Shau Kei Wan, Hong Kong",skwclr@poleungkuk.org.hk,"3915 3915
5239 3462
(3740 3666)","李協勤
Adnan Li",adrian.li@poleungkuk.org.hk,12.3.2025,不限,不限,18歲以下需家長同意書
C-MHYC,社署資助,香港,幼兒服務,育嬰園,育嬰園,保良局莫慶堯育嬰園,"保良局莫慶堯育嬰園
Po Leung Kuk Mok Hing Yiu Creche","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",plkcreche@poleungkuk.org.hk,"2277 8199
2277 8379
(2577 0819)","黃雅璇園長
Wong Ngan Shuen",ns.wong@poleungkuk.org.hk,"1978.3.8
(2009.12.15)",48,0-2歲,"延展服務 2002.9
暫託服務 2011.5"
C-CLYW-KN,教育局 / 社署,香港,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,朱李月華幼稚園暨幼兒園,"朱李月華幼稚園暨幼兒園
Chu Lee Yuet Wah  Kindergarten-cum-Nursery","香港銅鑼灣禮頓道66號
66 Leighton Road, Causeway Bay, H.K.",clywkgn@poleungkuk.org.hk,"2277 8383
2277 8170
(2890 8397)","曾志雄校長
Tsang Chi Hung",jim.tsang@poleungkuk.org.hk,"1964.4.5
(2009.3.30)",84,2-6歲,"兼收服務1979.9
暫託服務1997.3
延展服務2002.9"
C-KH-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,黃樹雄幼稚園暨幼兒園 ,"黃樹雄幼稚園暨幼兒園 
Kim Huynh Kindergarten-cum-Nursery","九龍坪石邨黃石樓地下
G/F, 125-132, Wong Shek House, Ping Shek Estate, Kowloon",khkgn@poleungkuk.org.hk,"2320 6671
2320 6691
(2321 4219)","姚婉雯校長
Yiu Yuen Man",ym.yiu@poleungkuk.org.hk,"1975.2.16
(2012.5.18)",100,2-6歲,"兼收服務1981.10
暫託服務1991.6
延展服務2001.1"
C-CP-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,志沛幼稚園暨幼兒園,"志沛幼稚園暨幼兒園
Chi Pui Kindergarten-cum-Nursery","新界葵涌梨木樹邨第二座二樓
224 & 234, 225-232, 1/F., Block 2, Lei Muk Shue Estate, Kwai Chung",cpkgn@poleungkuk.org.hk,"2426 7643
2426 7645
(2410 1041)","王燕貞校長
Wong Yin Ching",yinching.wong@poleungkuk.org.hk,"1976.2.14
(2012.6.1)",105,2-6歲,"兼收服務1987.11
暫託服務1997.3
延展服務2001.10"
C-TCN-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,唐楚男(瀝源)幼稚園暨幼兒園,"唐楚男(瀝源)幼稚園暨幼兒園
Tong Chor Nam(Lek Yuen ) Kindergarten-cum-Nursery","新界沙田瀝源邨貴和樓二樓223至232室
No. 223-232, 1/F, Kwai Wo House, Lek Yuen Estate, Shatin, N.T.",tcnkgn@poleungkuk.org.hk,"2692 0428
2692 0438
(2695 3169)","林詠雯校長
Lam Wing Man",wm.lam@poleungkuk.org.hk,"1977.3.15
(2020.3)",105,2-6歲,"兼收服務 1985.11(兩組)
暫託服務 1991.6
延展服務 2001.1"
C-LOK-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,梁安琪幼稚園暨幼兒園,"梁安琪幼稚園暨幼兒園
Angela Leong On Kei Kindergarten-cum-Nursery","九龍深水埗石硤尾邨美盛樓一樓
1/F., Mei Shing House, Shek Kip Mei Estate, Sham Shui Po, Kowloon",lokkgn@poleungkuk.org.hk,"2778 7182
2778 7193
(2777 1456)","巫凱儀校長
Mo Hoi Yi",hy.mo@poleungkuk.org.hk,"2014.3.26
(2017.3.8)
舊校馮伯廉幼稚園暨幼兒園服務開辦日期: 1979.3.12",100,2-6歲,"兼收服務(1980.10)*(兩組)
暫託服務(1996.3)*
延展服務 (2000.9) *"
C-TWS-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,方譚遠良(慈雲山)幼稚園暨幼兒園,"方譚遠良(慈雲山)幼稚園暨幼兒園
Fong Tam Yuen Leung (Tsz Wan Shan) Kindergarten-cum-Nursery","九龍慈雲山慈民邨民泰樓 1, 2, 5-12 號地下
Unit 1, 2, & 5-12, G/F, Man Tai House, Tsz Man Estate, Tsz Wan Shan, Kowloon",tszwanshan@poleungkuk.org.hk,"2327 7561
2327 7567
(2350 6896)","成凱恩校長
Shing Hoi Yan",hy.shing@poleungkuk.org.hk,"1980.3.28
(1995.6.6)",135,2-6歲,"兼收服務1995.10(兩組)
暫託服務1996.3
延展服務2001.10"
C-MNYO-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,倪文玲(友愛)幼稚園暨幼兒園,"倪文玲(友愛)幼稚園暨幼兒園
Malina Ngai (Yau Oi) Kindergarten-cum-Nursery","新界屯門友愛邨第六座愛禮樓地下
G/F, Block 6 , Oi Lai House, Yau Oi Estate, Tuen Mun, N.T.",mnyokgn@poleungkuk.org.hk,"2451 4336
2451 4331
(2613 1977)","黃翠怡校長
Wong Tsui Yee",tsuiyee.wong@poleungkuk.org.hk,"1982.3.17
(2023.11.28)",110,2-6歲,"兼收服務1983.6(兩組)
暫託服務1996.3
延展服務2001.10"
C-LSC-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,李筱參幼稚園暨幼兒園,"李筱參幼稚園暨幼兒園
Lee Siu Chan Kindergarten-cum-Nursery","九龍觀塘順利邨社區中心六樓
5/F, Shun Lee Estate Community Centre, Shun Lee Estate, Kowloon",leesiuchan@poleungkuk.org.hk,"2343 9038
2343 9096
(2950 9498)","黃小玲校長
Wong Siu Ling",siuling.wong@poleungkuk.org.hk,1983.3.15,112,2-6歲,"兼收服務1984.10(兩組)
暫託服務1996.10
延展服務2001.10"
C-WSC-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,王少清幼稚園暨幼兒園,"王少清幼稚園暨幼兒園
Wong Siu Ching Kindergarten-cum-Nursery","九龍黃大仙彩雲邨社區中心六樓
5/F, Choi Wan Estate Community Centre, Choi Wan Estate, Kowloon",wongsiuching@poleungkuk.org.hk,"2755 3438
2755 3430
(2707 0292)","翟佩珊校長
Chak Pui Shan",puishan.chak@poleungkuk.org.hk,1983.3.24,105,2-6歲,"兼收服務1986.11
暫託服務1996.10
延展服務2001.10"
C-MNBB-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,倪文玲(蝴蝶灣)幼稚園暨幼兒園,"倪文玲(蝴蝶灣)幼稚園暨幼兒園
Malina Ngai (Butterfly Bay) Kindergarten-cum-Nursery","新界屯門蝴蝶灣社區中心六樓
5/F, Butterfly Bay Community Centre, Butterfly Estate, Tuen Mun, N.T.",mnbbkgn@poleungkuk.org.hk,"2467 3121
2467 3122
(2466 9844)","陸嘉慧校長
Luk Ka Wai",kw.luk@poleungkuk.org.hk,"1984.3.14
(2023.11.27)",105,2-6歲,"兼收服務1985.11
暫託服務1994.10
延展服務2001.1"
C-LC-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,劉進幼稚園暨幼兒園,"劉進幼稚園暨幼兒園
Lau Chun Kindergarten-cum-Nursery","新界大埔廣福邨廣禮樓地下
No. 123-131, G/F, Kwong Lai House, Kwong Fuk Estate, Tai Po, N.T.",lckgn@poleungkuk.org.hk,"2653 2932
2653 2966
(2638 5988)","黃翠怡校長
Wong Tsui Yee",tsuiyee.wong@poleungkuk.org.hk,"1984.3.23
(2019.2.26)",103,2-6歲,"兼收服務1995.2
暫託服務1997.3
延展服務2001.1"
C-NPL-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,吳寶玲幼稚園暨幼兒園,"吳寶玲幼稚園暨幼兒園
Ng Po Ling Kindergarten-cum-Nursery","九龍觀塘翠屏邨翠桃樓21-34號平台
Unit 21-34, Podium Level, Tsui To House, Tsui Ping Estate, Kwun Tong, Kowloon",nplkgn@poleungkuk.org.hk,"2727 1405
2727 1428
(2349 7153)","王艷玲校長
Wong Yim Ling",yimling.wong@poleungkuk.org.hk,"1987.3.17
(2021.6.21)",132,2-6歲,"兼收服務1990.3(兩組)
暫託服務1995.10
延展服務2000.9"
C-FTYL-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,方譚遠良幼稚園暨幼兒園,"方譚遠良幼稚園暨幼兒園
Fong Tam Yuen Leung Kindergarten-cum-Nursery","新界荃灣青山公路荃灣段530/590號麗城花園第一期閣樓幼兒院
530/590 Castle Peak Road Tsuen Wan, Belvedere Garden, Phase 1, Mezz Nursery, Tsuen Wan",fongtam@poleungkuk.org.hk,"2411 1799
2411 1789
(2414 0891)","鍾佩珊校長
Chung Pui Shan",puishan.chung@poleungkuk.org.hk,1988.3.25,132,2-6歲,"兼收服務1996.9(兩組)
暫託服務1994.10
延展服務2002.9"
